canonical_name	enwiki
Lloyd LaBeach	Lloyd LaBeach
Lloyd Murad	Lloyd Murad
Lloydricia Cameron	Lloydricia Cameron
Logan Cunningham	Logan Cunningham (athlete)
Logan Cunningham	Logan Cunningham (coach)
Lokesh Sathyanathan	Lokesh Sathyanathan
Lolo Jones	Lolo Jones
Longino Welch	Longino Welch
Lopez Lomong	Lopez Lomong
Loree Smith	Loree Smith
Lorenzo Daniels	Lorenzo Daniel
Lorenzo Wright	Lorenzo Wright
Lorraine Ugen	Lorraine Ugen
Loudia Laarman	Loudia Laarman
Louie Hinchliffe	Louie Hinchliffe
Louis Luchini	Louis Luchini
Lucy Bryan	Lucy Bryan
Lucy Oliver	Lucy Oliver
Luis Grijalva	Luis Grijalva
Luis Luna	Luis Luna (athlete)
Luis Morales	Luis Morales (sprinter)
Luis Rivera	Luis Rivera (long jumper)
Luke Caldwell	Luke Caldwell
Luke Gunn	Luke Gunn
Luke Houser	Luke Houser
Luke Puskedra	Luke Puskedra
Luke Traynor	Luke Traynor
Luke Watson	Luke Watson (sprinter)
Luther Hayes	Luther Hayes
Luuk Pelkmans	Luuk Pelkmans
Lyle Leong	Lyle Leong
Lyndon Sands	Lyndon Sands
Lynn Eves	Lynn Eves
Lynn Headley	Lynn Headley
Lynn Jennings	Lynn Jennings
Lynn Nelson	Lynn Nelson (runner)
Lynna Irby	Lynna Irby
Maalik Reynolds	Maalik Reynolds
Mac Fleet	Mac Fleet
Mac Speedie	Mac Speedie
Mac Wilkins	Mac Wilkins
Mack Robinson	Mack Robinson (sprinter)
Mackenzie Little	Mackenzie Little
Maddie Harris	Maddie Harris
Madeline Price	Madeline Price
Madie Boreman	Madie Boreman
Madison Whyte	Madison Whyte
Madison Wiltrout	Madison Wiltrout
Maeve O'Neill	Maeve O'Neill
Maggi Congdon	Maggi Congdon
Maggie Barrie	Maggie Barrie
Maggie Chan	Maggie Chan (athlete)
Maggie Ewen	Maggie Ewen
Maggie Malone-Hardin	Maggie Malone-Hardin
Maggie Vessey	Maggie Vessey
Maia McCoy	Maia McCoy
Maia Ramsden	Maia Ramsden
Maicel Uibo	Maicel Uibo
Makanakaishe Charamba	Makanakaishe Charamba
Makayla Paige	Makayla Paige
Makeba Alcide	Makeba Alcide
Makenzie Dunmore	Makenzie Dunmore
Mal Whitfield	Mal Whitfield
Malachi Davis	Malachi Davis
Malachi Snow	Malachi Snow
Malcolm Clemons	Malcolm Clemons
Malcolm Hicks	Malcolm Hicks
Malcolm Taylor	Malcolm Taylor (American football)
Malik Cunningham	Malik Cunningham
Malindi Elmore	Malindi Elmore
Mantas Šilkauskas	Mantas Šilkauskas
Manuela Rotundo	Manuela Rotundo
Marc Burns	Marc Burns
Marc Burns	Marc Burns
Marc Davis	Marc Davis (runner)
Marc Hunter	Marc Hunter (athlete)
Marc Minichello	Marc Minichello
Marc Scott	Marc Scott
Marcel Lomnický	Marcel Lomnický
Marcel Philippe	Marcel Philippe (athlete)
Marcellus Moore	Marcellus Moore
Marcia Sey	Marcia Sey
Marcia Tate	Marcia Tate
Marco Arop	Marco Arop
Marco Langon	Marco Langon
Marcus Allen	Marcus Allen
Marcus Allen	Marcus Allen (linebacker)
Marcus Boyd	Marcus Boyd
Marcus Brunson	Marcus Brunson
Marcus Chambers	Marcus Chambers
Marcus Dixon	Marcus Dixon
Marcus Harris	Marcus Harris (cornerback)
Marcus Harris	Marcus Harris (defensive tackle)
Marcus Harris	Marcus Harris (wide receiver, born 1974)
Marcus Harris	Marcus Harris (wide receiver, born 1989)
Marcus Jackson	Marcus Jackson
Marcus Nilsson	Marcus Nilsson (decathlete)
Marcus O'Sullivan	Marcus O'Sullivan
Marcus Parker	Marcus Parker
Marcus Robinson	Marcus Robinson (American football)
Marcus Rowland	Marcus Rowland (athlete)
Marcus Stokes	Marcus Stokes (American football)
Marcus Thomas	Marcus Thomas (defensive tackle)
Marcus Thomas	Marcus Thomas (running back)
Mardrea Hyman	Mardrea Hyman
Mardy Scales	Mardy Scales
Marecia Pemberton	Marecia Pemberton
Marek Niit	Marek Niit
Margaret Bamgbose	Margaret Bamgbose
Margaret Coomber	Margaret Coomber
Margot Appleton	Margot Appleton
Maria Akraka	Maria Akraka
Maria McCambridge	Maria McCambridge
Maria Usifo	Maria Usifo
Mariam Abdul-Rashid	Mariam Abdul-Rashid
Mariam Kevkhishvili	Mariam Kevkhishvili
Marian Burnett	Marian Burnett
Maribel Caicedo	Maribel Caicedo
Marie-Therese Obst	Marie-Therese Obst
Marieke Veltman	Marieke Veltman
Marielle Hall	Marielle Hall
Marija Vučenović	Marija Vučenović
Marika Tuliniemi	Marika Tuliniemi
Marina Munćan	Marina Munćan
Mario Burke	Mario Burke
Mario García	Mario García (runner)
Mario Vernon-Watson	Mario Vernon-Watson
Mario Watts	Mario Watts
Marion Jepngetich	Marion Jepngetich
Marion Jones	Marion Jones
Marisa Howard	Marisa Howard
Marita Payne	Marita Payne
Mark Anderson	Mark Anderson (American football)
Mark Anderson	Mark Anderson (sprinter)
Mark Anderson	Mark Anderson (American football)
Mark Anderson	Mark Anderson (sprinter)
Mark Belger	Mark Belger
Mark Boswell	Mark Boswell (athlete)
Mark Cannon	Mark Cannon (American football)
Mark Carroll	Mark Carroll (runner)
Mark Collins	Mark Collins (American football)
Mark Coogan	Mark Coogan
Mark Crear	Mark Crear
Mark Croghan	Mark Croghan
Mark Davidson	Mark Davidson (athlete)
Mark Deady	Mark Deady
Mark Duper	Mark Duper
Mark Enyeart	Mark Enyeart
Mark Everett	Mark Everett (runner)
Mark Fricker	Mark Fricker
Mark Handelsman	Mark Handelsman
Mark Harrison	Mark Harrison (American football)
Mark Jackson	Mark Jackson (athletic director)
Mark Jackson	Mark Jackson (defensive back)
Mark Jackson	Mark Jackson (hurdler)
Mark Jackson	Mark Jackson (quarterback)
Mark Jackson	Mark Jackson (wide receiver)
Mark Jackson	Mark Jackson (athletic director)
Mark Jackson	Mark Jackson (defensive back)
Mark Jackson	Mark Jackson (hurdler)
Mark Jackson	Mark Jackson (quarterback)
Mark Jackson	Mark Jackson (wide receiver)
Mark Johnson	Mark Johnson (American football)
Mark Korir	Mark Korir
Mark Lutz	Mark Lutz (sprinter)
Mark Miller	Mark Miller (quarterback, born 1956)
Mark Miller	Mark Miller (quarterback, born 1962)
Mark Murro	Mark Murro
Mark Nenow	Mark Nenow
Mark Reed	Mark Reed (Arizona Wildcats)
Mark Reed	Mark Reed (quarterback, born 1959)
Mark Robinson	Mark Robinson (linebacker)
Mark Robinson	Mark Robinson (safety)
Mark Rowe	Mark Rowe (sprinter)
Mark Simmons	Mark Simmons (American football)
Mark Smith	Mark Smith (American football)
Mark Smith	Mark Smith (sprinter)
Mark Smith	Mark Smith (American football)
Mark Smith	Mark Smith (sprinter)
Mark Smith	Mark Smith (American football)
Mark Smith	Mark Smith (sprinter)
Mark Sullivan	Mark Sullivan (American football)
Mark Thomas	Mark Thomas (defensive end)
Mark Thomas	Mark Thomas (sprinter)
Mark Thomas	Mark Thomas (tight end)
Mark Wesley Johnson	Mark Johnson (American football)
Mark Wilson	Mark Wilson (American football)
Mark Wilson	Mark Wilson (American football)
Mark Winzenried	Mark Winzenried
Mark Witherspoon	Mark Witherspoon
Mark Young	Mark Young (Canadian football)
Marko Koers	Marko Koers
Marko Wahlman	Marko Wahlman
Marleen Mülla	Marleen Mülla
Marlena Wesh	Marlena Wesh
Marlon Jones	Marlon Jones (American football)
Marlon Ramsey	Marlon Ramsey
Marqueze Washington	Marqueze Washington
Marquis Dendy	Marquis Dendy
Marquise Goodwin	Marquise Goodwin
Marshall Dill	Marshall Dill
Marshevet Hooker Flintall	Marshevet Hooker
Martha Bissah	Martha Bissah
Martin Fagan	Martin Fagan
Martin Marić	Martin Marić
Martin McGrady	Martin McGrady
Martin Owusu-Antwi	Martin Owusu-Antwi
Martina Weil	Martina Weil
Marty Beck	Marty Beck
Marty Engel	Marty Engel
Marty Froelick	Marty Froelick
Marty Liquori	Marty Liquori
Maruša Černjul	Maruša Černjul
Marvin Lewis	Marvin Lewis
Marvin Watts	Marvin Watts
Mary Cullen	Mary Cullen
Mary Jayne Harrelson	Mary Jayne Harrelson
Mary Saxer	Mary Saxer
Maryse Éwanjé-Épée	Maryse Éwanjé-Épée
Masai Russell	Masai Russell
Mason Ferlic	Mason Ferlic
Mason Finley	Mason Finley
Mats Nilsson	Mats Nilsson (javelin thrower)
Matt Centrowitz	Matt Centrowitz
Matt Giusto	Matt Giusto
Matt Gordy	Matt Gordy
Matt Hemingway	Matt Hemingway
Matt Lane	Matt Lane
Matt Lepsis	Matt Lepsis
Matt Ludwig	Matt Ludwig
Matt McGrath	Matt McGrath
Matt Mitchell	Matt Mitchell (American football)
Matt Rodgers	Matt Rodgers
Matt Scherer	Matt Scherer
Matt Simson	Matt Simson
Matt Stewart	Matt Stewart (American football)
Matt Tegenkamp	Matt Tegenkamp
Matthew Boling	Matthew Boling
Matthew Clarke	Matthew Clarke (runner)
Matthew Erickson	Matthew Erickson (runner)
Matthew Wilkinson	Matthew Wilkinson (runner)
Matthews Motshwarateu	Matthews Motshwarateu
Matti Närhi	Matti Närhi
Mattias Jons	Mattias Jons
Maudie Skyring	Maudie Skyring
Maureen Stewart	Maureen Stewart
Maurice Mitchell	Maurice Mitchell
Maurice Mitchell	Maurice Mitchell
Maurice Peoples	Maurice Peoples
Maurice Smith	Maurice Smith (cornerback)
Maurice Smith	Maurice Smith (decathlete)
Maurice Smith	Maurice Smith (running back)
Maurice Wignall	Maurice Wignall
Mauricia Prieto	Mauricia Prieto
Max Thomas	Max Thomas (sprinter)
Max Truex	Max Truex
Maxie Parks	Maxie Parks
Maxwell Peters	Maxwell Peters
McClinton Neal	McClinton Neal
McKenzie Long	McKenzie Long
Me'Lisa Barber	Me'Lisa Barber
Meb Keflezighi	Meb Keflezighi
Mechelle Lewis	Mechelle Lewis
Meg Ritchie	Meg Ritchie
Megan Moss	Megan Moss
Meghan Hunter	Meghan Hunter
Mel Bleeker	Mel Bleeker
Mel Branch	Mel Branch
Mel Cheskin	Mel Cheskin
Mel Embree	Mel Embree
Mel Gray	Mel Gray (return specialist)
Mel Gray	Mel Gray (wide receiver)
Mel Hein	Mel Hein
Mel Lattany	Mel Lattany
Mel Patton	Mel Patton
Mel Renfro	Mel Renfro
Mel Spence	Mel Spence
Mel Walker	Mel Walker (high jumper)
Melaine Walker	Melaine Walker
Meleni Rodney	Meleni Rodney
Melissa Gonzalez	Melissa Gonzalez (hurdler)
Melissa Jefferson	Melissa Jefferson-Wooden
Melissa Price	Melissa Price (pole vaulter)
Melissa Price	Melissa Price (pole vaulter)
Melissa Straker	Melissa Straker
Melody Fairchild	Melody Fairchild
Melvin Lister	Melvin Lister
Mena Scatchard	Mena Scatchard
Mercy Chelangat	Mercy Chelangat
Meredith Gourdine	Meredith Gourdine
Merlene Frazer	Merlene Frazer
Merlene Ottey	Merlene Ottey
Mia Barnett	Mia Barnett
Micaela De Mello	Micaela de Mello
Micah Williams	Micah Williams (sprinter)
Michael Ayers	Michael Ayers (Canadian football)
Michael Bates	Michael Bates (American football)
Michael Bell	Michael Bell (mayor)
Michael Bingham	Michael Bingham
Michael Blackwood	Michael Blackwood (sprinter)
Michael Campbell	Michael Campbell (gridiron football)
Michael Campbell	Michael Campbell (sprinter)
Michael Cannon	Michael Cannon (sprinter)
Michael Carter	Michael Carter (Canadian football)
Michael Carter	Michael Carter (nose tackle)
Michael Carter	Michael Carter (running back)
Michael Carter	Mike Carter (American football)
Michael Carter	Michael Carter (Canadian football)
Michael Carter	Michael Carter (nose tackle)
Michael Carter	Michael Carter (running back)
Michael Cherry	Michael Cherry (athlete)
Michael Clark	Michael Clark (runner)
Michael Clark	Michael Clark (wide receiver)
Michael Cleary	Michael Cleary (rugby)
Michael Coe	Michael Coe (American football)
Michael Cox	Michael Cox (running back)
Michael Cox	Michael Cox (running back)
Michael Dickson	Michael Dickson (American football)
Michael Dickson	Michael Dickson (hurdler)
Michael Ford	Michael Ford (gridiron football)
Michael Franks	Michael Franks (athlete)
Michael Frater	Michael Frater
Michael Grant	Michael Grant (American football)
Michael Granville	Michael Granville
Michael Green	Michael Green (sprinter)
Michael Hughes	Michael Hughes (kicker)
Michael Hughes	Mike Hughes (American football)
Michael Jackson	Michael Jackson (linebacker)
Michael Jackson	Michael Jackson (wide receiver)
Michael Jasper	Michael Jasper
Michael Johnson	Michael Johnson (defensive end)
Michael Johnson	Michael Johnson (safety)
Michael Johnson	Michael Johnson (sprinter)
Michael Johnson	Michael Johnson (defensive end)
Michael Johnson	Michael Johnson (safety)
Michael Johnson	Michael Johnson (sprinter)
Michael Joseph	Michael Joseph (American football)
Michael Joseph	Michael Joseph (Belizean sprinter)
Michael Joseph	Michael Joseph (Saint Lucian sprinter)
Michael Joseph	Michael Joseph (American football)
Michael Joseph	Michael Joseph (Belizean sprinter)
Michael Joseph	Michael Joseph (Saint Lucian sprinter)
Michael Joubert	Michael Joubert (athlete)
Michael Keogh	Michael Keogh (athlete)
Michael LeBlanc	Michael LeBlanc
Michael LeBlanc	Michael LeBlanc (American football)
Michael Mason	Michael Mason (high jumper)
Michael Mathieu	Michael Mathieu
Michael Moore	Michael Moore (offensive lineman)
Michael Moore	Mike Moore (American football coach)
Michael Moore	Mike Moore (Canadian football)
Michael Moore	Mike Moore (running back)
Michael Musyoki	Michael Musyoki
Michael Norman	Michael Norman (sprinter)
Michael Paul	Michael Paul (sprinter)
Michael Pinckney	Michael Pinckney
Michael Ponikvar	Michael Ponikvar
Michael Power	Michael Power (athlete)
Michael Power	Mike Power (American football)
Michael Proctor	Michael Proctor (gridiron football)
Michael Ray Garvin	Michael Ray Garvin
Michael Robertson	Michael Robertson (discus thrower)
Michael Rutt	Michael Rutt
Michael Saruni	Michael Saruni
Michael Shuey	Michael Shuey
Michael Smith	Michael Smith (running back)
Michael Smith	Michael Smith (wide receiver)
Michael Stember	Michael Stember
Michael Stigler	Michael Stigler
Michael Thomas	Michael Thomas (defensive back)
Michael Thomas	Michael Thomas (wide receiver, born 1993)
Michael Timpson	Michael Timpson
Michael Timpson	Michael Timpson
Michael Tinsley	Michael Tinsley
Michael Turner	Michael Turner (American football)
Michael Williams	Michael Williams (defensive back)
Michael Williams	Michael Williams (defensive lineman)
Michael Williams	Michael Williams (running back)
Michael Williams	Michael Williams (sprinter)
Michael Williams	Michael Williams (tight end)
Michael Williams	Michael Williams (defensive back)
Michael Williams	Michael Williams (defensive lineman)
Michael Williams	Michael Williams (running back)
Michael Williams	Michael Williams (sprinter)
Michael Williams	Michael Williams (tight end)
Michael Williams	Michael Williams (defensive back)
Michael Williams	Michael Williams (defensive lineman)
Michael Williams	Michael Williams (running back)
Michael Williams	Michael Williams (sprinter)
Michael Williams	Michael Williams (tight end)
Michael Williams	Michael Williams (defensive back)
Michael Williams	Michael Williams (defensive lineman)
Michael Williams	Michael Williams (running back)
Michael Williams	Michael Williams (sprinter)
Michael Williams	Michael Williams (tight end)
Michael Wilson	Michael Wilson (offensive lineman)
Michael Wilson	Michael Wilson (wide receiver)
Michael Woods	Michael Woods (cyclist)
Michaela Rose	Michaela Rose (runner)
Michelle Atherley	Michelle Atherley
Michelle Ballentine	Michelle Ballentine
Michelle Baptiste	Michelle Baptiste
Michelle Burgher	Michelle Burgher
Michelle Carter	Michelle Carter (athlete)
Michelle Collins	Michelle Collins (sprinter)
Michelle Collins	Michelle Collins (sprinter)
Michelle Finn	Michelle Finn (steeplechaser)
Michelle Fournier	Michelle Fournier
Michelle Freeman	Michelle Freeman
Michelle Johnson	Michelle Johnson (hurdler)
Michelle Perry	Michelle Perry
Michelle Smith	Michelle Smith (athlete)
Mickaël Hanany	Mickaël Hanany
Mickey Matthews	Mickey Matthews
Miguel Pate	Miguel Pate
Mikael Olander	Mikael Olander
Mike Agostini	Mike Agostini
Mike Anderson	Mike Anderson (linebacker)
Mike Anderson	Mike Anderson (offensive lineman)
Mike Anderson	Mike Anderson (running back)
Mike Banks	Mike Banks (American football)
Mike Baxter	Mike Baxter (athlete)
Mike Black	Mike Black (kicker)
Mike Black	Mike Black (offensive lineman)
Mike Black	Mike Black (punter)
Mike Bradley	Mike Bradley (Canadian football)
Mike Bradley	Mike Bradley (sprinter)
Mike Brennan	Mike Brennan (American football)
Mike Brown	Mike Brown (American football executive)
Mike Brown	Mike Brown (defensive back, born 1999)
Mike Brown	Mike Brown (safety)
Mike Brown	Mike Brown (wide receiver)
Mike Brown	Mike Brown (American football executive)
Mike Brown	Mike Brown (defensive back, born 1999)
Mike Brown	Mike Brown (safety)
Mike Brown	Mike Brown (wide receiver)
Mike Brown	Mike Brown (American football executive)
Mike Brown	Mike Brown (defensive back, born 1999)
Mike Brown	Mike Brown (safety)
Mike Brown	Mike Brown (wide receiver)
Mike Buncic	Mike Buncic
Mike Butler	Mike Butler (American football)
Mike Calhoun	Mike Calhoun
Mike Calhoun	Mike Calhoun (quarterback)
Mike Cotton	Mike Cotton (pole vaulter)
Mike Cotton	Mike Cotton (pole vaulter)
Mike Daniels	Mike Daniels (American football)
Mike Davis	Mike Davis (defensive back, born 1956)
Mike Davis	Mike Davis (defensive back, born 1972)
Mike Davis	Mike Davis (running back)
Mike Davis	Mike Davis (wide receiver)
Mike Donnelly	Mike Donnelly (American football)
Mike Durkin	Mike Durkin
Mike Erickson	Mike Erickson
Mike Evans	Mike Evans (defensive lineman)
Mike Evans	Mike Evans (offensive lineman)
Mike Evans	Mike Evans (wide receiver)
Mike Fisher	Mike Fisher (American football)
Mike Flanagan	Mike Flanagan (American football)
Mike Flanagan	Mike Flanagan (American football)
Mike Gonzales	Mike Gonzales
Mike Harris	Mike Harris (cornerback)
Mike Jackson	Mike Jackson (cornerback)
Mike Johnson	Mike Johnson (American football coach)
Mike Johnson	Mike Johnson (cornerback)
Mike Johnson	Mike Johnson (linebacker)
Mike Johnson	Mike Johnson (offensive lineman)
Mike Jorgensen	Mike Jorgensen (American football)
Mike Kelley	Mike Kelley (offensive lineman)
Mike Kelley	Mike Kelley (quarterback)
Mike Kelly	Mike Kelly (American football coach)
Mike Kelly	Mike Kelly (gridiron football)
Mike Kelly	Mike Kelly (gridiron football, born 1948)
Mike Kelly	Mike Kelly (American football coach)
Mike Kelly	Mike Kelly (gridiron football)
Mike Kelly	Mike Kelly (gridiron football, born 1948)
Mike Landers	Mike Landers (American football)
Mike Larrabee	Mike Larrabee
Mike Lee	Mike Lee (American football)
Mike Lewis	Mike Lewis (American football)
Mike Lewis	Mike Lewis (arena football)
Mike Lindsay	Mike Lindsay
Mike Mahovlich	Mike Mahovlich
Mike Mercer	Mike Mercer (American football)
Mike Mercer	Mike Mercer (shot putter)
Mike Miller	Mike Miller (American football coach, born 1991)
Mike Miller	Mike Miller (Canadian football)
Mike Miller	Mike Miller (sprinter)
Mike Miller	Mike Miller (American football coach, born 1991)
Mike Miller	Mike Miller (Canadian football)
Mike Miller	Mike Miller (sprinter)
Mike Miller	Mike Miller (American football coach, born 1991)
Mike Miller	Mike Miller (Canadian football)
Mike Miller	Mike Miller (sprinter)
Mike Morgan	Mike Morgan (linebacker, born 1942)
Mike Morgan	Mike Morgan (linebacker, born 1988)
Mike Morgan	Mike Morgan (running back)
Mike Morris	Mike Morris (defensive end)
Mike Morris	Mike Morris (long snapper)
Mike Murei	Mike Murei
Mike Palm	Mike Palm (American football)
Mike Peterson	Mike Peterson
Mike Price	Mike Price
Mike Ramos	Mike Ramos (decathlete)
Mike Roberson	Mike Roberson
Mike Roche	Mike Roche (runner)
Mike Ryan	Mike Ryan (athlete)
Mike Sands	Mike Sands (sprinter)
Mike Sharpe	Mike Sharpe (sprinter)
Mike Smith	Mike Smith (American football coach)
Mike Smith	Mike Smith (decathlete)
Mike Smith	Mike Smith (linebacker)
Mike Smith	Mike Smith (running coach)
Mike Smith	Mike Smith (wide receiver)
Mike Solomon	Mike Solomon
Mike Stahr	Mike Stahr
Mike Stulce	Mike Stulce
Mike Sullivan	Mike Sullivan (American football coach)
Mike Sullivan	Mike Sullivan (offensive lineman)
